item_id,category_id,item_name
49,3,NBA 2K21: Mamba Forever Edition - PlayStation 4
50,3,Call of Duty: Modern Warfare - PlayStation 4
51,3,Cyberpunk 2077 - PlayStation 4
52,3,Marvel's Avengers - PlayStation 4
53,3,"LG 27GN750-B 27 UltraGear 16:9 240Hz Full HD IPS Gaming Monitor with NVIDIA G-Sync Compatible & Adaptive-Sync, HDR 10"
54,3,"HP 27"" LED Computer Monitor (X3W26AA_ABA)"
55,3,"HP 24"" LED Computer Monitor (1LU21AA_ABA)"
56,3,Thermaltake Riing Plus 14 RGB Software Enabled 140mm Case Fan
57,3,Thermaltake Matrix Magnetic Fan Filter
58,3,TCL ALTO 5+ 2.1 Channel Sound Bar
59,3,Amazon Fire TV Stick with 4K Ultra HD Streaming Media Player and Alexa Voice Remote (2nd Generation)
60,3,Roku Streaming Stick+ Black (3810R)
61,4,Small Foot Wooden Toys Smack the Bird Knock Playset with Hammer
62,4,Transformers Studio Series 68 Deluxe Movie 3 Leadfoot (Target Exclusive)
63,4,Marvel Legends Deadpool's Head Premium Interactive Head
64,4,WWE Wrekkin Slambulance
65,4,"It (2017) Ultimate Well House Pennywise 7"" Action Figure"
66,4,"Cabbage Patch Kids 9"" Deluxe Splash N' Float - Brown Eye Girl Unicorn"
67,4,Cry Babies Kristal Gets Sick & Feels Better
68,4,Squishy Human Body Anatomy Kit
69,4,Thames & Kosmos Gross Gummy Candy Lab
70,4,Creativity for Kids Grow N' Glow Terrarium
71,4,B. toys Toy Drum Set 7 Instruments - Parum Pum Pum
72,4,VTech Mix And Match-a-Saurus
73,4,Star Wars Walkie Talkies
74,4,Mira Royal Detective on the Case Detective Set
75,4,Melissa & Doug Deluxe Solid-Wood Magic Set With 10 Classic Tricks
76,4,L.O.L. Surprise! Winter Disco Cottage Playhouse
77,4,KidKraft Ocean Front Playhouse
78,4,Melissa & Doug Food Truck Indoor Corrugate Playhouse (Over 4' Long)
79,4,Mega Bloks CAT Large Dump Truck Construction Set
80,4,Mega Bloks GJD22 Junior Builder Mini Bulk Tub 180 Piece Large Block Building Set
81,5,Lemon & Mint Glass Cleaner - 28 fl oz - Everspring™
82,5,Windex Ammonia Free Glass Cleaners - 26oz
83,5,Mrs. Meyer's Lavender Glass Cleaner - 24 fl oz
84,5,Seventh Generation Sparkling Sea Glass Cleaner - 23oz
85,5,Method Citron Antibacterial All Purpose Spray - 28 fl oz
86,5,Clorox Disinfecting Bathroom Cleaner Spray Bottle 30 oz
87,5,CloroxToilet Bowl Cleaner Clinging Bleach Gel - Cool Wave
88,5,Seventh Generation Emerald Cypress & Fir Toilet Bowl Cleaner - 32oz
89,5,Swiffer Sweeper Dry + Wet All Purpose Floor Mopping and Cleaning Starter Kit with Heavy Duty Cloths - Includes 1 Mop - 10 Refills
90,5,Swiffer WetJet Floor Mop Starter Kit 1 Power Mop 5 Mopping Pads 1 Floor Cleaner Liquid Solution
91,5,Arm & Hammer Carpet Odor Eliminator - Pet Fresh - 42.6oz
92,5,O-Cedar EasyWring Spin Mop and Bucket System
93,5,Libman Large Precision Angle Broom with Dustpan
94,5,Gain flings! Laundry Detergent Pacs Original + Original In-Wash Scent Booster - Bundle
95,5,Tide Original Liquid Laundry Detergent - 92 fl oz
96,5,All Ultra Free Clear HE Liquid Laundry Detergent - 141oz
97,5,Bounce Outdoor Fresh Dryer Sheets - 250ct
98,5,Gain Original Dryer Sheets - 105ct
99,5,Dyson Slim Ball Animal Upright Vacuum
100,5,iRobot Roomba 675 Wi-Fi Connected Robot Vacuum
